species	temperature	light	growthrate
Chlorella	20	11.08312	0.3248201
Chlorella	20	18.13602	0.526259
Chlorella	20	38.28715	0.7352518
Chlorella	20	74.55919	0.9165468
Chlorella	20	127.9597	0.9442446
Chlorella	20	179.3451	0.8989209
Chlorella	20	218.6398	0.871223
Chlorella	20	338.539	0.8510791
Chlorella	20	457.4307	0.8057554
Chlorella	20	640.806	0.6622302
Chlorella	20	719.3955	0.5690647
Chlorella	15	12.09068	0.3273381
Chlorella	15	18.13602	0.4784173
Chlorella	15	40.30227	0.5715827
Chlorella	15	76.57431	0.6899281
Chlorella	15	131.9899	0.6672662
Chlorella	15	180.3526	0.4784173
Chlorella	15	221.6625	0.3651079
Chlorella	15	339.5466	0.2719424
Chlorella	15	460.4534	0.2442446
Chlorella	15	641.8136	0.2593525
Chlorella	15	720.403	0.2165468
Chlorella	10	9.06801	0.1938849
Chlorella	10	20.15113	0.3374101
Chlorella	10	38.28715	0.3802158
Chlorella	10	74.55919	0.355036
Chlorella	10	127.9597	0.2392086
Chlorella	10	179.3451	0.176259
Chlorella	10	217.6322	0.1032374
Chlorella	10	338.539	0.0528777
Chlorella	10	458.4383	0.02266187
Chlorella	10	639.7985	0.02266187
Chlorella	10	719.3955	0.01510791
Chlorella	25	7.142857	0.3856887
Chlorella	25	16.32653	0.5509839
Chlorella	25	37.7551	0.7237925
Chlorella	25	73.46939	0.9842576
Chlorella	25	126.5306	1.049374
Chlorella	25	178.5714	1.049374
Chlorella	25	219.3878	1.004293
Chlorella	25	339.7959	0.8389982
Chlorella	25	462.2449	0.7914132
Chlorella	25	643.8776	0.7162791
Chlorella	25	722.449	0.5109123
Chlorella	30	6.122449	0.3856887
Chlorella	30	19.38776	0.6236136
Chlorella	30	40.81633	0.8064401
Chlorella	30	76.53061	1.021825
Chlorella	30	130.6122	1.174597
Chlorella	30	182.6531	1.124508
Chlorella	30	222.449	0.8940966
Chlorella	30	341.8367	0.816458
Chlorella	30	462.2449	0.7488372
Chlorella	30	645.9184	0.5635063
Chlorella	30	725.5102	0.2830054
Chlorella	35	7.142857	0.3456172
Chlorella	35	17.34694	0.3932021
Chlorella	35	38.77551	0.763864
Chlorella	35	74.4898	0.9692308
Chlorella	35	128.5714	1.031843
Chlorella	35	177.551	1.046869
Chlorella	35	220.4082	1.051878
Chlorella	35	338.7755	0.7763864
Chlorella	35	463.2653	0.7488372
Chlorella	35	645.9184	0.5660107
Chlorella	35	722.449	0.3781753
Fragilaria	10	16.16162	0.1208791
Fragilaria	10	41.41414	0.1659341
Fragilaria	10	61.61616	0.1824176
Fragilaria	10	92.92929	0.2032967
Fragilaria	10	128.2828	0.1835165
